timestamp,cpu_load,avg_temp_cpu,cpu_numbers,IPS,CPS,queue_length,pid_count,gpu_numbers,avg_gpu_temperature,ram_percent,swap_total,swap_percent,disk_utilization,disk_latency,disk_temperature,docker_container
24-07-2023 22:57:14,1.0,,4,0.0,382.0,0.08,360,0,,38.5,1024.0,6.5,1.7,36,,0
24-07-2023 22:57:28,1.1,,4,15.0,126.0,0.08800000000000001,360,0,,38.5,1024.0,6.5,1.7,27,,0
24-07-2023 22:57:42,1.2,,4,0.0,84.0,0.096,361,0,,38.5,1024.0,6.5,1.7,12,,0
24-07-2023 22:57:56,1.1,,5,0.0,482.0,0.08800000000000001,361,0,,38.5,1024.0,6.5,1.7,43,,0
24-07-2023 22:58:10,5.3,,5,0.0,9115.0,0.424,361,0,,38.5,1024.0,6.5,1.7,32,,0
24-07-2023 22:58:25,2.4,,4,0.0,384.0,0.192,360,0,,38.5,1024.0,6.5,1.7,279,,0
24-07-2023 22:58:39,1.4,,5,0.0,332.0,0.11199999999999999,360,0,,38.5,1024.0,6.5,1.7,25,,0
24-07-2023 22:58:53,2.2,,4,0.0,143.0,0.17600000000000002,360,0,,38.5,1024.0,6.5,1.7,26,,0
24-07-2023 22:59:07,1.4,,4,0.0,4191.0,0.11199999999999999,360,0,,38.5,1024.0,6.5,1.7,14,,0
24-07-2023 22:59:21,1.6,,4,9.0,4648.0,0.128,362,0,,38.6,1024.0,6.5,1.7,42,,0
24-07-2023 22:59:35,1.5,,5,0.0,88.0,0.12,363,0,,38.6,1024.0,6.5,1.7,40,,0
24-07-2023 22:59:49,1.3,,3,0.0,337.0,0.10400000000000001,363,0,,38.6,1024.0,6.5,1.7,36,,0
24-07-2023 23:00:03,1.1,,4,0.0,271.0,0.08800000000000001,362,0,,38.5,1024.0,6.5,1.7,31,,0
24-07-2023 23:00:17,5.2,,4,0.0,38427.0,0.41600000000000004,361,0,,38.5,1024.0,6.5,1.7,647,,0
24-07-2023 23:00:31,0.6,,5,0.0,372.0,0.048,361,0,,38.5,1024.0,6.5,1.7,21,,0
24-07-2023 23:00:45,1.4,,4,0.0,384.0,0.11199999999999999,361,0,,38.5,1024.0,6.5,1.7,24,,0
24-07-2023 23:01:00,1.9,,3,25.0,8764.0,0.152,361,0,,38.5,1024.0,6.5,1.7,29,,0
24-07-2023 23:01:14,1.3,,3,0.0,3027.0,0.10400000000000001,361,0,,38.5,1024.0,6.5,1.7,32,,0
24-07-2023 23:01:28,0.8,,4,0.0,1964.0,0.064,362,0,,38.5,1024.0,6.5,1.7,43,,0
24-07-2023 23:01:42,1.1,,3,0.0,612.0,0.08800000000000001,363,0,,38.5,1024.0,6.5,1.7,31,,0
24-07-2023 23:01:56,1.2,,4,0.0,708.0,0.096,363,0,,38.5,1024.0,6.5,1.7,26,,0
24-07-2023 23:02:10,0.2,,3,8.0,149.0,0.016,361,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:02:24,0.3,,3,0.0,112.0,0.024,360,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:02:38,0.3,,3,0.0,94.0,0.024,360,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:02:52,0.4,,3,0.0,161.0,0.032,360,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:03:07,1.1,,3,0.0,95.0,0.08800000000000001,360,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:03:21,0.2,,3,9.0,36.0,0.016,360,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:03:35,1.0,,3,0.0,91.0,0.08,361,0,,38.5,1024.0,6.5,1.7,8,,0
24-07-2023 23:03:49,0.2,,3,0.0,168.0,0.016,361,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:04:03,0.2,,4,72.0,164.0,0.016,361,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:04:17,0.3,,4,0.0,29.0,0.024,360,0,,38.4,1024.0,6.5,1.7,0,,0
24-07-2023 23:04:31,0.2,,3,1.0,137.0,0.016,360,0,,38.4,1024.0,6.5,1.7,0,,0
24-07-2023 23:04:45,0.3,,3,35.0,12.0,0.024,360,0,,38.4,1024.0,6.5,1.7,0,,0
24-07-2023 23:04:59,0.2,,3,0.0,88.0,0.016,360,0,,38.4,1024.0,6.5,1.7,0,,0
24-07-2023 23:05:13,0.2,,4,0.0,164.0,0.016,360,0,,38.4,1024.0,6.5,1.7,0,,0
24-07-2023 23:05:28,0.3,,3,0.0,101.0,0.024,360,0,,38.4,1024.0,6.5,1.7,0,,0
24-07-2023 23:05:42,0.4,,3,0.0,88.0,0.032,361,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:05:56,0.2,,3,0.0,10.0,0.016,361,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:06:10,0.2,,4,0.0,158.0,0.016,361,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:06:24,0.4,,3,0.0,101.0,0.032,360,0,,38.4,1024.0,6.5,1.7,0,,0
24-07-2023 23:06:38,0.2,,6,0.0,96.0,0.016,360,0,,38.4,1024.0,6.5,1.7,0,,0
24-07-2023 23:06:52,0.4,,3,0.0,102.0,0.032,362,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:07:06,1.1,,2,0.0,8.0,0.08800000000000001,362,0,,38.5,1024.0,6.5,1.7,0,,0
24-07-2023 23:07:20,0.2,,3,8.0,231.0,0.016,362,0,,38.5,1024.0,6.5,1.7,0,,0
